Date Submitted,Title,Submitted By,Link,TL;DR / One-liner,Problem Statement,Proposed Solution / Scope,Domain Experts Involved,Community Support,Intended Impact,Impact Area,Leverage / Multiplier Effect,Execution Readiness,Existing Funding,Dependencies / Risks,Review Notes,Reviewer Score
"August 15, 2025",Ethereum Mass Adoption: User Experience & Consumer Apps,atenyun,https://gov.gitcoin.co/t/gg24-sensemaking-report-user-experience-consumer-apps/23020,,"The Ethereum world has a few big problems that make it tough for new users. It’s like having a great new car that’s a pain to drive because you have to solve a puzzle just to open the door. These problems are: The User Experience (UX) is confusing: When a new person tries to use an Ethereum app (called a dApp), it can feel like a maze. They first have to learn about something called a “seed phrase,” which is a bunch of secret words they can never lose. Then they have to figure out how to get mo","s (called Layer 2s) have made these fees much cheaper, users still have to deal with complex ideas like “gas tokens” and “gas limits.” The cost can also change a lot, especially when the network is busy. This makes it too expensive to do small, simple things, like sending a quick message or playing a game. This is a big turn-off because people expect to be able to do small things online without paying a fee for every single click. Not enough apps that people actually want to use: Right now, most","Sensemaking Report, This report, is about, major issue, in the",https://gov.gitcoin.co/t/gg24-sensemaking-report-user-experience-consumer-apps/23020,& Reflection We’ll know this effort worked in about six months if we see a few things happen: Easier-to-use tools are everywhere: Projects will start using open-source tools that make it simple for anyone to connect a wallet or swap a token. A “how-to” guide for better design: The community will create a public guide for making great Ethereum apps that are easy to use. New users stay longer: Wall,UX/Consumer,Medium leverage/multiplier,Medium,,"$50,000",,
"August 15, 2025","Open Data Standards, Infrastructure & Analytics for Ethereum",rohit,https://gov.gitcoin.co/t/gg24-sensemaking-open-data-standards-infrastructure-analytics-for-ethereum/23000,"Ethereum is scaling rapidly, but fragmentation, opaque data, and siloed coordination threaten its ability to function as a unified network. This report proposes a funding domain for open data infrastructure—the explorers, analytics, standards, and me","s through structured community research. One-minute Summary Ethereum is scaling rapidly, but fragmentation, opaque data, and siloed coordination threaten its ability to function as a unified network. This report proposes a funding domain for open data infrastructure—the explorers, analytics, standards, and metrics that allow anyone, inside or outside the ecosystem, to verify growth, adoption, and impact. In traditional finance, data is often paywalled and proprietary; in Ethereum, it should rema","? Yes Note: While the Data Tooling Atlas provides a broad map of opportunities, the initial funding round will likely focus on a narrower set of priorities rather than attempting to cover the full Atlas. The emphasis should be on use cases that: (a) Deliver impact across more than one of the three core opportunities (e.g., funding flow tools that advance both transparent OSS funding and institutional legitimacy), and (b) Align with areas where there is already interest and deployable capital fr","With inputs, Carl Cervone, David Gasquez, Rashmi Abbigeri, Sam McCarthy, Umar Khan, This report, is part",https://gov.gitcoin.co/t/gg24-sensemaking-open-data-standards-infrastructure-analytics-for-ethereum/23000,"& Reflection What specific outcomes will show success within 6 months? How will we measure genuine impact beyond just activity metrics? What will make the Ethereum community genuinely glad we funded this domain long-term? 6-month Success Criteria: Tangible Deliverables: High-performing established projects release updates, dashboards, or APIs improving data accessibility and reliability. New Tool",Data,High leverage/multiplier,High,,"What specific Ethereum problem are you addressing? Why is this urgent and significant right now? What evidence supports the importance of this problem? Projects like Blockscout, DefiLlama, growthepie,",,
"August 15, 2025",Developer Tooling & Core Infrastructure,MathildaDV,https://gov.gitcoin.co/t/gitcoin-oss-domain-developer-tooling-core-infrastructure-gg24-sensemaking-report/23022,,"Ethereum’s developer infrastructure is underfunded. The tools that secure billions in value receive minimal funding while user-facing applications attract most investment. Our interviews with ecosystem stakeholders showed that better tooling could prevent many hacks and vulnerabilities, yet these tools remain underfunded. Security incidents result in lost funds and erode trust, discouraging developers and enterprises from building on Ethereum. Nine of twelve stakeholders in our sensemaking inter","s to prevent hacks, which in turn sacrifices Ethereum’s decentralization. The ecosystem loses millions to duplicated efforts as teams rebuild similar tooling independently. A new AI model saw millions of developers adopt it quickly, while Ethereum’s developer base remains orders of magnitude smaller. Better tooling could help close this gap. 2. Sensemaking Analysis We conducted structured interviews with stakeholders across the Ethereum ecosystem, including Ethereum Foundation representatives, i","Gitcoin OSS, Developer Tooling, Core Infrastructure, Sensemaking Report, developer infrastructure",https://gov.gitcoin.co/t/gitcoin-oss-domain-developer-tooling-core-infrastructure-gg24-sensemaking-report/23022,"& Reflection Success in six months means improvements in infrastructure sustainability and developer experience. We’ll measure projects, focusing on predictable funding for twelve months forward, increased library downloads and tool adoption, and documented security improvements resulting from enhanced tooling support. Impact appears in developer testimonials and ecosystem behavior changes. Succes",Infrastructure,High leverage/multiplier,High,,", limited monetization options for libraries and languages, and talent drain from infrastructure to commercial work. The evidence from interviews, community proposals, and ecosystem data creates a cle",,
"August 15, 2025",Metafunding: Fund PGF Mechanisms & Research,DavidDAO,https://gov.gitcoin.co/t/metafunding-fund-pgf-mechanisms-research-gitcoin-3-0-sensemaking-report/23024,"(slightly ) Ethereum’s future hinges on elevating PGF into a high-ROI. The Metafunding domain will explore how to fund Ethereum forever by finally establishing academic rigor and feedback signals. In this report, we gathered millions of data points t","Without targeted research funding in metafunding, Ethereum risks: Running PGF experiments without knowing which works best or why. Missing opportunities to integrate PGF into ecosystem growth strategies. Failing to attract serious academic engagement from economics, political science, and mechanism design. It’s about funding the mechanisms that fund the projects. Without dedicated investment in mechanism research, we risk a patchwork of small experiments without the scale, legitimacy, and impa","s. As Kevin Owocki puts it: “We need a ‘Uniswap of PGF’ — a breakout success that proves it can work at scale. Right now, it’s a chicken-and-egg problem: no funding, no talent; no talent, no funding.” Why Metafunding Matters PGF is the “funding layer” for everything Ethereum cares about — protocol security, developer experience, user adoption, ecosystem resilience. Well-designed funding mechanisms have a multiplier effect: they make every funded project more impactful by allocating capital mor","Fund PGF, By GainForest, Funding the, Seer One, and the",https://gov.gitcoin.co/t/metafunding-fund-pgf-mechanisms-research-gitcoin-3-0-sensemaking-report/23024,"remain constrained by systemic challenges: PGF is often perceived as charity rather than high-ROI investment, there is little formal academic engagement to validate or improve designs, data quality is insufficient for robust analysis, and evaluator capacity limits scale and credibility. Without dedicated research and infrastructure, PGF risks becoming a series of isolated experiments with diminish",Governance,High leverage/multiplier,High,,"becoming a series of isolated experiments with diminishing engagement, as recent Gitcoin trends show. Metafunding proposes to address this by creating a Gitcoin Grants domain devoted to the rigorous s",,
"August 15, 2025",Breaking into Enterprise,cryptotwilight,https://gov.gitcoin.co/t/gg24-sense-making-report-breaking-into-enterprise/23026,,"Problem Ethereum has grown in leaps and bounds since its inception however one challenge has remained illusive, the challenge of adoption in Enterprise. Recent developments in crypto regulation globally have reduced the levels of uncertainty around Ethereum blockchain adoption in the Enterprise space however, Enterprise adoption specifically as part of operational systems is still a big issue. Simply put the massive opportunity that Ethereum brings to the Enterprise space is that for realtime tr","to the Enterprise challenge has to be community driven. Community is what works in big corporate, big pharma and so on. Community knows the pain points and access points to Enterprise intimately, but more than that it is community that can source the solutions to the Enterprise conundrum which is quite complex but extremely solvable. In short the Gitcoin network is a more dynamic and responsive mechanism for solving the Enterprise challenge for Ethereum as it avoids the group think that is assoc","Sense Making, Breaking into, Ethereum has, grown in, leaps and",https://gov.gitcoin.co/t/gg24-sense-making-report-breaking-into-enterprise/23026,"& Reflection The success metrics for this initiative for the first 6 months have been kept simple: Number of common industry issues successfully identified and scoped (the market) Number of successful community solutions developed (the providers) Number of successful service deployments delivered or planned (the new economy) To measure the genuine impact, of this initiative we would measure the",Enterprise,High leverage/multiplier,High,,"$50k, funding model for this would consist of engaging partners such as Spork DAO, Arbitrum DAO, Optimism Foundation, NEAR Foundation, and other major networks, to create a community fund for Enterprise Innovation $50",,
"August 13, 2025",Privacy-Preserving KYC,M0nkeyFl0wer,https://gov.gitcoin.co/t/gg24-sensemaking-report-privacy-preserving-legally-compliant-kyc-for-grants-and-web3/22923,,"Every time someone says “KYC,” I picture a giant jar of honey left out in the open. It’s put there with the best intentions, maybe to cook something delicious or feed the community, but it also attracts every bear, wasp, and opportunist in the area. When I ran Gitcoin’s grants program, that “honey” was stacks of sensitive identity documents sitting where anyone with the wrong intentions could get to them. You don’t have to be a security expert to know that’s asking for trouble. Identity document","s, and actually dogfood them while allocating funds and making these tools widely available to others in the space. GG24 Sensemaking Report: Privacy-Preserving, Legally-Compliant KYC for Grants and Web3 Problem & Impact Every time someone says “KYC,” I picture a giant jar of honey left out in the open. It’s put there with the best intentions, maybe to cook something delicious or feed the community, but it also attracts every bear, wasp, and opportunist in the area. When I ran Gitcoin’s grants p","@owocki, @MathildaDV, Big props, owocki and, MathildaDV for",https://gov.gitcoin.co/t/gg24-sensemaking-report-privacy-preserving-legally-compliant-kyc-for-grants-and-web3/22923,"& Reflection Outcomes in 6 months: At least two open-source, ZKP-enabled KYC systems deployed by GG25 No raw ID data stored in human-readable form. At least one system passes an independent compliance and legal audit. One other grant platform or crypto protocol adopts a funded solution. Measuring genuine impact: Beyond counting active integrations, we can measure: Reduction in sensitive data ex",Privacy,High leverage/multiplier,High,,"and doesn’t store raw personal data. That’s why this is urgent: regulators like OFAC and FATF are tightening compliance rules, while users’ tolerance for surveillance and data risk is plummeting. Mean",,
"July 16, 2025",Ethereum Localism x Regen Coordination,MontyMerlin,https://gov.gitcoin.co/t/ethereum-localism-x-regen-coordination-gitcoin-3-0-sensemaking-report/21940,"Ethereum Localism is an emerging opportunity space that can address meaningful mass adoption by embedding Web3 tools (e.g., stablecoins, payments, onchain governance) into local communities and economies—offering real-world legitimacy and utility bey","Ethereum Localism Ethereum Localism is an emerging opportunity space that speaks directly to one of Ethereum’s most significant long-term challenges: achieving meaningful mass adoption. If Ethereum is to fulfill its promise as a global coordination layer, it must move beyond short-term cycles of speculative hype toward deep, systemic integration into the real-world systems that shape people’s daily lives. Ethereum Localism emphasizes the importance of place, community, and local context as essen","s filling gaps left by traditional financial institutions (Celo Africa DAO Q1 2025). In South America, Communities like ReFi Medellin, Celo Colombia, and Regen Rio are pioneering the adoption of $cCOP (onchain Colombian Peso) and $cREAL (onchain Brazilian Real) as well as developing localized payment solutions and onboarding local people, organizations, and merchants—realizing the vision of bringing entire local economies onchain. This rapid adoption of Web3 technologies —especially across emerg","@Celo, @omniharmonic, @owocki, @LuukDAO, @TheTokenJedi",https://gov.gitcoin.co/t/ethereum-localism-x-regen-coordination-gitcoin-3-0-sensemaking-report/21940,"& Reflection What specific outcomes will show success within 6 months? Within the first six months, success will be demonstrated by at least 3-5 local communities running their own regional programs / funding rounds, each leveraging matching funds from diverse sponsors. These local programs will not only allocate capital, but also pilot and refine mechanisms for on-chain impact reporting and round",Infrastructure,High leverage/multiplier,High,,"such as durable and meaningful adoption, post-speculative utility, relevance beyond crypto-native circles, and real-world legitimacy. Ethereum Localism offers a strategic pathway for addressing these",,
"July 9, 2025",Pre-&-Post-Grant Coordination,sepu85,https://gov.gitcoin.co/t/gg24-sensemaking-report-at-pre-post-grant-coordination-from-allocation-to-alignment-accountability/21711,,"What specific Ethereum problem are you addressing? Ethereum has invested deeply in collective infrastructure — but often overlooks the inner architecture of collaboration. Gitcoin grants fund public goods teams doing vital work. But after the grant hits a multisig, how the funds are shared within those teams often lacks structure, visibility, or intentionality. While Gitcoin tracks project-level transparency through tools like karma.gap or Dune dashboards, the human layer — the dynamics of peer","funding, aiming to evolve beyond one-size-fits-all grants. But while distribution mechanisms multiply, the “last mile” of internal allocation is still under-addressed. DAOs, mutual aid groups, and open-source projects often operate with blurred roles and shifting commitments. But when funding arrives, they fall back on informal or founder-led decisions about “who gets what.” It’s not ill intent — it’s a lack of structure. And it leaves contributors feeling uncertain, undervalued, or disconnected","@migrenaa, What specific, Ethereum problem, are you, Ethereum has",https://gov.gitcoin.co/t/gg24-sensemaking-report-at-pre-post-grant-coordination-from-allocation-to-alignment-accountability/21711,"& Reflection What specific outcomes will show success within 6 months? Within the next 6 months, we aim to achieve: 5–10% of Gitcoin-funded teams using Collabberry to guide internal post-grant value distribution Launch of two features*: Benefactor Feature to connect and automate flow from external grants to peer-assessed allocations Token Distribution automation to execute payouts via SAFE multi",Governance,High leverage/multiplier,Medium,,,,
"July 8, 2025",Builder Development as Ethereum’s Most Meaningful Problem,KarlaGod,https://gov.gitcoin.co/t/gitcoin-sensemaking-report-builder-development-as-ethereum-s-most-meaningful-problem/21677,,"AND IMPACT What specific Ethereum problem am I addressing? SPECIFIC PROBLEM: Ethereum faces a builder sustainability challenge, while we’re relying on the same tools, ecosystem thinking and generation of builders that have got us through the past decade, the challenges of the next decade demand a fresh wave of innovators equipped with new perspectives, skills, and infrastructure to build what’s next. To unlock the next decade of growth, we must invest in a new generation of builders, developer","Info At the moment, none yet. KarlaGod","PROBLEM AND, What specific, Ethereum problem, SPECIFIC PROBLEM, Ethereum faces",https://gov.gitcoin.co/t/gitcoin-sensemaking-report-builder-development-as-ethereum-s-most-meaningful-problem/21677,"AND REFLECTION Within 6 months, success will look like: 5 Ethereum Campus Hubs activated with micro-grants. 20 Projects launched into the Ethereum ecosystem using Builder tools. 50+ developers transitioned into contributing to OSS tools, DAOs, or Ethereum infra. Launch of 3-5 student-led OSS tools (e.g., dashboards, attestations, grant stack use-cases). Beyond activity metrics, we will track:",Governance,High leverage/multiplier,High,,"of the next decade demand a fresh wave of innovators equipped with new perspectives, skills, and infrastructure to build what’s next. To unlock the next decade of growth, we must invest in a new gener",,
"June 25, 2025",Web3 Startup Acceleration,Hydrapad,https://gov.gitcoin.co/t/sensemaking-report-for-gg24-beyond-concentrating-on-fragmented-fundraising-issues/21250,,"The Problem: Ethereum’s early-stage startups face fragmented fundraising mechanisms, inadequate mentorship access, and high failure rates due to operational friction. Projects struggle to secure fair capital, navigate compliance, and access real-time liquidity during critical growth phases—stifling innovation and economic growth. Startup Failure Causes (2024) % Funding Gaps 72% Product Issues 14% Regulatory Barriers 9% Team Problems 5% Source: Electric Capital 2024 Report","3. Gitcoin’s Unique Role & Fundraising Gitcoin’s Unique Value: Gitcoin can coordinate a unified support stack (fundraising + mentorship) by leveraging: Quadratic Funding to democratize capital allocation. Community Stewards as mentors (e.g., pairing founders with past grantees). Cross-Chain Tools to simplify fundraising. Network vs. Hierarchy: A decentralized network (not a single entity) is essential because: Startup needs vary by chain, sector, and stage. Hierarchies (e.g., VC firms) optimi","@kylejensen, @owocki, @deltajuliet, @MathildaDV, Fragmented Fundraising",https://gov.gitcoin.co/t/sensemaking-report-for-gg24-beyond-concentrating-on-fragmented-fundraising-issues/21250,& Reflection 6-Month Outcomes: 50+ startups launched via streamlined presale tools. 30% reduction in time-to-funding for Gitcoin-backed projects. 20+ mentor-matchings via Gitcoin’s steward network. Measuring Genuine Impact: Net Impact Score (NIS) from founders (>7/10 = success). Active Retention Rate: % of projects building 6mo post-funding. Liquidity Health: On-chain presale token stability (D,Infrastructure,High leverage/multiplier,High,,"ceding talent to competitor ecosystems (Solana, Cosmos) during a critical adoption window. Evidence: Vitalik Buterin’s “Endgame” roadmap (2023) emphasizes “easing developer friction” as key to ecosy",,
"June 20, 2025",Ethereum For The World,LuukDAO,https://gov.gitcoin.co/t/ethereum-for-the-world-dda-report-draft/21123,"ETH For The World: Sustainable Development on Ethereum Problem & Impact: Ethereum’s infrastructure is well-suited to address the global Sustainable Development Goals (SDGs), yet remains underutilized by institutions tackling real-world challenges suc","Ethereum’s infrastructure is well-suited to address the global Sustainable Development Goals (SDGs), yet remains underutilized by institutions tackling real-world challenges such as digital identity and humanitarian aid. This gap stems from limited access, ecosystem engagement, and builder support, hindering Ethereum’s potential impact. Sensemaking Analysis: Ethereum For The World (ETH FTW) identified over 200 SDG-aligned, blockchain-relevant challenges via UNDP data and ecosystem experience. Mo","s and sets the stage for future domain growth focused on real-world development challenges. Problem & Impact Ethereum offers the most mature infrastructure for building real-world solutions. Yet, it remains largely absent from the strategies of most innovators and development institutions tackling global challenges. This disconnect stems from a lack of accessible resources, proactive ecosystem engagement, and timely support for builders. As a result, Ethereum remains underutilized in Sustainable","Luuk Weber, Founder Kolektivo, Lead CeloPG, and Erik, Head of, Governance and",https://gov.gitcoin.co/t/ethereum-for-the-world-dda-report-draft/21123,"& Reflection: Progress will be tracked through capital efficiency, builder retention, ecosystem legitimacy, and mechanism innovation—demonstrating Ethereum’s capacity to fund and scale real-world impact. Domain Info: The Ethereum For The World Domain (ETH FTW) is proposed for Gitcoin Grants 24. ETH FTW is led by Luuk Weber and Erik Brinde. The program supports high-impact, onchain solutions and se",Infrastructure,High leverage/multiplier,High,,"such as digital identity and humanitarian aid. This gap stems from limited access, ecosystem engagement, and builder support, hindering Ethereum’s potential impact. Sensemaking Analysis: Ethereum For",,
"August 15, 2025",Infofi,vaughnmck,https://gov.gitcoin.co/t/infofi-domain-gg24-sensemaking-report/23038 ,"Goal: Deploy crypto-focused information markets (excluding sports/politics) that generate over $1M in volume, establishing Ethereum as the hub for information finance. Ask: Run a Market Discovery Program using Butter to subsidize 10-15 experimental m","OpenAI, Anthropic, and Google increasingly mediate how society accesses and interprets information. Truth is becoming dangerously cheap to engineer. The 2024-2025 period marks an inflection point. ChatGPT and Claude are becoming the primary information interfaces for millions, bots overrun most social media feeds, and elections face broad misinformation campaigns. Meanwhile, Ethereum has matured enough to consider building alternatives. The evidence for information finance (InfoFi) as a solution","is compelling. Polymarket’s $16B+ cumulative volume demonstrates demand for truth-seeking mechanisms. Most importantly, information markets address the root cause of our information crisis: misaligned incentives. Traditional media optimizes for engagement and advertising revenue, not truth. InfoFi creates markets where accurate information pays, transforming truth from a public good into a profitable venture. That users continue to return month after month to these platforms, finding value years","Deploy crypto, focused information, excluding sports, that generate, in volume, establishing Ethereum",https://gov.gitcoin.co/t/infofi-domain-gg24-sensemaking-report/23038 ,"& Reflection Our goal is to deploy a catalogue of crypto-focused information markets that do not include sports, politics, or price action, and generate $1M+ volume across all active markets. We’ll track forecast accuracy (comparing predictions to actuals) and user retention, and monitor for fraud, e.g., wash trading. We’ll introduce a mechanism for the community to contribute to the market select",DeFi,High leverage/multiplier,High,,"$1M, $16, $61, , Eth, Funding Market, and 500K OP through the Optimism Grants Council—generating remarkable results: the futarchy cohort achieved $61",,
